answer,gen_answer,confidence,probe,correct
3,1,95,81,0
2,2,95,87,1
4,4,95,78,1
4,4,95,72,1
2,2,95,76,1
2,2,90,74,1
2,3,90,77,0
1,1,95,78,1
2,1,90,71,0
3,3,95,71,1
3,3,95,83,1
3,3,95,67,1
4,4,100,88,1
2,2,95,70,1
4,4,100,82,1
2,2,95,83,1
1,1,95,71,1
3,3,100,72,1
1,1,90,62,1
2,2,100,78,1
3,3,95,78,1
1,1,95,76,1
1,1,90,62,1
2,2,95,95,1
2,2,95,73,1
3,3,95,73,1
4,2,95,69,0
4,4,10,95,1
1,1,95,80,1
1,2,90,75,0
4,2,100,82,0
1,1,95,80,1
4,4,100,90,1
3,3,85,80,1
2,2,95,76,1
4,4,100,72,1
3,3,90,50,1
2,2,95,77,1
1,1,90,78,1
1,1,95,72,1
2,2,95,64,1
2,3,90,79,0
4,4,95,97,1
3,1,95,77,0
1,1,95,73,1
4,4,95,64,1
2,2,95,92,1
1,1,95,74,1
2,1,90,81,0
4,4,95,71,1
3,3,95,80,1
1,1,90,78,1
3,2,85,84,0
3,3,95,76,1
1,1,95,65,1
3,3,90,73,1
4,3,90,90,0
4,4,95,81,1
1,1,95,75,1
1,2,95,67,0
1,1,95,90,1
1,3,95,56,0
4,4,95,79,1
1,1,95,82,1
1,1,95,70,1
2,3,85,87,0
1,1,90,76,1
3,1,90,71,0
2,1,90,79,0
3,1,100,83,0
1,1,95,75,1
3,3,20,100,1
1,1,95,74,1
1,1,95,81,1
3,3,95,72,1
4,4,95,86,1
4,3,90,97,0
3,4,95,82,0
3,3,90,78,1
3,1,95,81,0
1,1,95,68,1
2,2,95,84,1
2,3,95,70,0
4,3,100,89,0
4,4,95,69,1
1,3,95,91,0
3,3,85,78,1
1,2,95,66,0
4,4,90,75,1
